"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 26 11:48:37 GMT 2022","Wed Oct 26 11:48:42 GMT 2022","5057","","Testing the main page","","Testing the main page","Clicking the ""Try for free"" button redirects to the sign up page","Clicking the ""Try for free"" button redirects to the sign up page",""
"passed","Wed Oct 26 11:49:11 GMT 2022","Wed Oct 26 11:49:13 GMT 2022","1835","","Testing the main page","","Testing the main page","The “Follow on Twitter” link in the footer","The “Follow on Twitter” link in the footer",""
"passed","Wed Oct 26 11:49:17 GMT 2022","Wed Oct 26 11:49:31 GMT 2022","14246","","Testing the registration page","","Testing the registration page","Checking the registration with valid random generated inputs","Checking the registration with valid random generated inputs",""
"passed","Wed Oct 26 11:50:11 GMT 2022","Wed Oct 26 11:50:14 GMT 2022","2793","","Checking the “Savings Calculator” function","","Checking the “Savings Calculator” function","Checking the error below the “Local Numbers” and the “Toll-free Numbers” inputs after typing the “1” number and clicking the minus button","Checking the error below the “Local Numbers” and the “Toll-free Numbers” inputs after typing the “1” number and clicking the minus button",""
"passed","Wed Oct 26 11:49:33 GMT 2022","Wed Oct 26 11:49:36 GMT 2022","3289","","Checking the “Savings Calculator” function","","Checking the “Savings Calculator” function","Checking the number in the “Your savings” section after typing the “100000” number in the “Local Numbers” input and in the “Toll-free Numbers” input","Checking the number in the “Your savings” section after typing the “100000” number in the “Local Numbers” input and in the “Toll-free Numbers” input",""
"passed","Wed Oct 26 11:49:41 GMT 2022","Wed Oct 26 11:49:42 GMT 2022","1558","","Checking the “Savings Calculator” function","","Checking the “Savings Calculator” function","Checking the error below the “Local Numbers” and the “Toll-free Numbers” inputs after typing the “1” number and clicking the minus button","Checking the error below the “Local Numbers” and the “Toll-free Numbers” inputs after typing the “1” number and clicking the minus button",""
"passed","Wed Oct 26 11:48:48 GMT 2022","Wed Oct 26 11:48:49 GMT 2022","693","","Testing the main page","","Testing the main page","The “Connect on LinkedIn” link in the footer","The “Connect on LinkedIn” link in the footer",""
"skipped","Wed Oct 26 11:49:03 GMT 2022","Wed Oct 26 11:49:03 GMT 2022","0","","Testing the main page","","Testing the main page","Clicking the “Developer Docs” link in the hoverable dropdown menu","Clicking the “Developer Docs” link in the hoverable dropdown menu",""
"passed","Wed Oct 26 11:49:36 GMT 2022","Wed Oct 26 11:49:38 GMT 2022","2512","","Checking the “Savings Calculator” function","","Checking the “Savings Calculator” function","Checking the number in the “Your savings” section after typing the “0” number in the “Local Numbers” input and in the “Toll-free Numbers” input","Checking the number in the “Your savings” section after typing the “0” number in the “Local Numbers” input and in the “Toll-free Numbers” input",""
"passed","Wed Oct 26 11:50:08 GMT 2022","Wed Oct 26 11:50:11 GMT 2022","2452","","Checking the “Savings Calculator” function","","Checking the “Savings Calculator” function","Checking the error below the “Local Numbers” and the “Toll-free Numbers” inputs after typing the “100001” number","Checking the error below the “Local Numbers” and the “Toll-free Numbers” inputs after typing the “100001” number",""
