"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 26 11:12:12 GMT 2022","Wed Oct 26 11:12:15 GMT 2022","2415","","Testing the main page","","Testing the main page","Clicking the “See all Pricing” link in the “hamburger menu”","Clicking the “See all Pricing” link in the “hamburger menu”",""
"passed","Wed Oct 26 11:11:31 GMT 2022","Wed Oct 26 11:11:33 GMT 2022","2490","","Testing the “Talk to an expert” page","","Testing the “Talk to an expert” page","Checking the phone number in the “Talk to our product experts” section","Checking the phone number in the “Talk to our product experts” section",""
"passed","Wed Oct 26 11:11:41 GMT 2022","Wed Oct 26 11:11:41 GMT 2022","681","","Testing the main page","","Testing the main page","The “Connect on LinkedIn” link in the footer","The “Connect on LinkedIn” link in the footer",""
"passed","Wed Oct 26 11:12:27 GMT 2022","Wed Oct 26 11:12:29 GMT 2022","2343","","Checking the “Savings Calculator” function","","Checking the “Savings Calculator” function","Checking the number in the “Your savings” section after typing the “0” number in the “Local Numbers” input and in the “Toll-free Numbers” input","Checking the number in the “Your savings” section after typing the “0” number in the “Local Numbers” input and in the “Toll-free Numbers” input",""
"passed","Wed Oct 26 11:11:50 GMT 2022","Wed Oct 26 11:11:57 GMT 2022","6908","","Testing the sign in page","","Testing the sign in page","Checking the login with empty fields","Checking the login with empty fields",""
"passed","Wed Oct 26 11:12:57 GMT 2022","Wed Oct 26 11:12:59 GMT 2022","2080","","Checking the “Savings Calculator” function","","Checking the “Savings Calculator” function","Checking the number in the “Your savings” section after typing the “0” number in the “Local Numbers” input and in the “Toll-free Numbers” input","Checking the number in the “Your savings” section after typing the “0” number in the “Local Numbers” input and in the “Toll-free Numbers” input",""
"passed","Wed Oct 26 11:12:24 GMT 2022","Wed Oct 26 11:12:27 GMT 2022","3462","","Checking the “Savings Calculator” function","","Checking the “Savings Calculator” function","Checking the number in the “Your savings” section after typing the “100000” number in the “Local Numbers” input and in the “Toll-free Numbers” input","Checking the number in the “Your savings” section after typing the “100000” number in the “Local Numbers” input and in the “Toll-free Numbers” input",""
"passed","Wed Oct 26 11:11:54 GMT 2022","Wed Oct 26 11:12:00 GMT 2022","6010","","Testing the main page","","Testing the main page","Clicking the ""Try for free"" button redirects to the sign up page","Clicking the ""Try for free"" button redirects to the sign up page",""
"passed","Wed Oct 26 11:12:11 GMT 2022","Wed Oct 26 11:12:12 GMT 2022","1419","","Testing the main page","","Testing the main page","The “Follow on Facebook” link in the footer","The “Follow on Facebook” link in the footer",""
"passed","Wed Oct 26 11:11:38 GMT 2022","Wed Oct 26 11:11:39 GMT 2022","1143","","Testing the main page","","Testing the main page","Clicking the “Start your free trial” button on the bottom of the homepage redirects to the sign up page","Clicking the “Start your free trial” button on the bottom of the homepage redirects to the sign up page",""
"passed","Wed Oct 26 11:12:59 GMT 2022","Wed Oct 26 11:13:01 GMT 2022","2268","","Checking the “Savings Calculator” function","","Checking the “Savings Calculator” function","Checking the error below the “Local Numbers” and the “Toll-free Numbers” inputs after typing the “100001” number","Checking the error below the “Local Numbers” and the “Toll-free Numbers” inputs after typing the “100001” number",""
"passed","Wed Oct 26 11:12:32 GMT 2022","Wed Oct 26 11:12:33 GMT 2022","1572","","Checking the “Savings Calculator” function","","Checking the “Savings Calculator” function","Checking the error below the “Local Numbers” and the “Toll-free Numbers” inputs after typing the “1” number and clicking the minus button","Checking the error below the “Local Numbers” and the “Toll-free Numbers” inputs after typing the “1” number and clicking the minus button",""
"passed","Wed Oct 26 11:11:35 GMT 2022","Wed Oct 26 11:11:38 GMT 2022","2589","","Testing the main page","","Testing the main page","Clicking the ""Try for free"" button redirects to the sign up page","Clicking the ""Try for free"" button redirects to the sign up page",""
"passed","Wed Oct 26 11:12:35 GMT 2022","Wed Oct 26 11:12:38 GMT 2022","2962","","Testing the registration page","","Testing the registration page","Checking the registration with blank inputs","Checking the registration with blank inputs",""
"passed","Wed Oct 26 11:12:00 GMT 2022","Wed Oct 26 11:12:04 GMT 2022","4216","","Testing the main page","","Testing the main page","Clicking the “Start your free trial” button on the bottom of the homepage redirects to the sign up page","Clicking the “Start your free trial” button on the bottom of the homepage redirects to the sign up page",""
