"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 26 11:21:56 GMT 2022","Wed Oct 26 11:21:59 GMT 2022","3012","","Testing the main page","","Testing the main page","Clicking the ""Try for free"" button redirects to the sign up page","Clicking the ""Try for free"" button redirects to the sign up page",""
"passed","Wed Oct 26 11:22:57 GMT 2022","Wed Oct 26 11:23:02 GMT 2022","4511","","Checking the “Savings Calculator” function","","Checking the “Savings Calculator” function","Checking the number in the “Your savings” section after typing the “100000” number in the “Local Numbers” input and in the “Toll-free Numbers” input","Checking the number in the “Your savings” section after typing the “100000” number in the “Local Numbers” input and in the “Toll-free Numbers” input",""
"passed","Wed Oct 26 11:22:04 GMT 2022","Wed Oct 26 11:22:06 GMT 2022","1476","","Testing the main page","","Testing the main page","The “Follow on Twitter” link in the footer","The “Follow on Twitter” link in the footer",""
"passed","Wed Oct 26 11:22:57 GMT 2022","Wed Oct 26 11:23:08 GMT 2022","11218","","Testing the sign in page","","Testing the sign in page","Checking the login with empty fields","Checking the login with empty fields",""
"passed","Wed Oct 26 11:23:44 GMT 2022","Wed Oct 26 11:23:47 GMT 2022","2706","","Checking the “Savings Calculator” function","","Checking the “Savings Calculator” function","Checking the number in the “Your savings” section after typing the “0” number in the “Local Numbers” input and in the “Toll-free Numbers” input","Checking the number in the “Your savings” section after typing the “0” number in the “Local Numbers” input and in the “Toll-free Numbers” input",""
"passed","Wed Oct 26 11:22:08 GMT 2022","Wed Oct 26 11:22:12 GMT 2022","4224","","Testing the main page","","Testing the main page","Clicking the “See all Pricing” link in the “hamburger menu”","Clicking the “See all Pricing” link in the “hamburger menu”",""
"passed","Wed Oct 26 11:22:32 GMT 2022","Wed Oct 26 11:22:37 GMT 2022","4660","","Testing the main page","","Testing the main page","Clicking the “Start your free trial” button on the bottom of the homepage redirects to the sign up page","Clicking the “Start your free trial” button on the bottom of the homepage redirects to the sign up page",""
"passed","Wed Oct 26 11:23:40 GMT 2022","Wed Oct 26 11:23:44 GMT 2022","4408","","Checking the “Savings Calculator” function","","Checking the “Savings Calculator” function","Checking the number in the “Your savings” section after typing the “100000” number in the “Local Numbers” input and in the “Toll-free Numbers” input","Checking the number in the “Your savings” section after typing the “100000” number in the “Local Numbers” input and in the “Toll-free Numbers” input",""
"passed","Wed Oct 26 11:22:52 GMT 2022","Wed Oct 26 11:22:53 GMT 2022","985","","Testing the main page","","Testing the main page","Checking the year in the copyright message in the footer","Checking the year in the copyright message in the footer",""
"passed","Wed Oct 26 11:22:43 GMT 2022","Wed Oct 26 11:22:45 GMT 2022","2486","","Testing the main page","","Testing the main page","The “Connect on LinkedIn” link in the footer","The “Connect on LinkedIn” link in the footer",""
"passed","Wed Oct 26 11:22:04 GMT 2022","Wed Oct 26 11:22:12 GMT 2022","7646","","Testing the “Talk to an expert” page","","Testing the “Talk to an expert” page","Checking the phone number in the “Talk to our product experts” section","Checking the phone number in the “Talk to our product experts” section",""
"passed","Wed Oct 26 11:22:12 GMT 2022","Wed Oct 26 11:22:14 GMT 2022","1440","","Testing the main page","","Testing the main page","Checking the year in the copyright message in the footer","Checking the year in the copyright message in the footer",""
"passed","Wed Oct 26 11:22:47 GMT 2022","Wed Oct 26 11:22:48 GMT 2022","1473","","Testing the main page","","Testing the main page","The “Follow on Facebook” link in the footer","The “Follow on Facebook” link in the footer",""
"passed","Wed Oct 26 11:23:19 GMT 2022","Wed Oct 26 11:23:23 GMT 2022","3573","","Testing the registration page","","Testing the registration page","Checking the registration with blank inputs","Checking the registration with blank inputs",""
"passed","Wed Oct 26 11:22:24 GMT 2022","Wed Oct 26 11:22:32 GMT 2022","7520","","Testing the main page","","Testing the main page","Clicking the ""Try for free"" button redirects to the sign up page","Clicking the ""Try for free"" button redirects to the sign up page",""
"passed","Wed Oct 26 11:22:06 GMT 2022","Wed Oct 26 11:22:08 GMT 2022","1949","","Testing the main page","","Testing the main page","The “Follow on Facebook” link in the footer","The “Follow on Facebook” link in the footer",""
"passed","Wed Oct 26 11:22:25 GMT 2022","Wed Oct 26 11:22:34 GMT 2022","9260","","Testing the sign in page","","Testing the sign in page","Checking the login with a randomly generated email and password","Checking the login with a randomly generated email and password",""
"passed","Wed Oct 26 11:23:08 GMT 2022","Wed Oct 26 11:23:11 GMT 2022","2826","","Checking the “Savings Calculator” function","","Checking the “Savings Calculator” function","Checking the error below the “Local Numbers” and the “Toll-free Numbers” inputs after typing the “1” number and clicking the minus button","Checking the error below the “Local Numbers” and the “Toll-free Numbers” inputs after typing the “1” number and clicking the minus button",""
"passed","Wed Oct 26 11:21:52 GMT 2022","Wed Oct 26 11:21:54 GMT 2022","2065","","Testing the “Talk to an expert” page","","Testing the “Talk to an expert” page","Checking the phone number in the “Talk to our product experts” section","Checking the phone number in the “Talk to our product experts” section",""
"passed","Wed Oct 26 11:22:41 GMT 2022","Wed Oct 26 11:22:55 GMT 2022","14123","","Testing the registration page","","Testing the registration page","Checking the registration with valid random generated inputs","Checking the registration with valid random generated inputs",""
"passed","Wed Oct 26 11:22:01 GMT 2022","Wed Oct 26 11:22:03 GMT 2022","2194","","Testing the main page","","Testing the main page","Clicking the “See all Pricing” link in the hoverable dropdown menu","Clicking the “See all Pricing” link in the hoverable dropdown menu",""
"passed","Wed Oct 26 11:23:47 GMT 2022","Wed Oct 26 11:23:50 GMT 2022","2942","","Checking the “Savings Calculator” function","","Checking the “Savings Calculator” function","Checking the error below the “Local Numbers” and the “Toll-free Numbers” inputs after typing the “100001” number","Checking the error below the “Local Numbers” and the “Toll-free Numbers” inputs after typing the “100001” number",""
"passed","Wed Oct 26 11:23:50 GMT 2022","Wed Oct 26 11:23:53 GMT 2022","3082","","Checking the “Savings Calculator” function","","Checking the “Savings Calculator” function","Checking the error below the “Local Numbers” and the “Toll-free Numbers” inputs after typing the “1” number and clicking the minus button","Checking the error below the “Local Numbers” and the “Toll-free Numbers” inputs after typing the “1” number and clicking the minus button",""
"skipped","Wed Oct 26 11:22:37 GMT 2022","Wed Oct 26 11:22:37 GMT 2022","0","","Testing the main page","","Testing the main page","Clicking the “Developer Docs” link in the hoverable dropdown menu","Clicking the “Developer Docs” link in the hoverable dropdown menu",""
"passed","Wed Oct 26 11:23:23 GMT 2022","Wed Oct 26 11:23:36 GMT 2022","13404","","Testing the registration page","","Testing the registration page","Checking the registration with valid random generated inputs","Checking the registration with valid random generated inputs",""
"passed","Wed Oct 26 11:21:54 GMT 2022","Wed Oct 26 11:21:55 GMT 2022","1381","","Testing the “Talk to an expert” page","","Testing the “Talk to an expert” page","Checking the phone numbers in the “Calling from overseas?” section","Checking the phone numbers in the “Calling from overseas?” section",""
"passed","Wed Oct 26 11:22:48 GMT 2022","Wed Oct 26 11:22:52 GMT 2022","3330","","Testing the main page","","Testing the main page","Clicking the “See all Pricing” link in the “hamburger menu”","Clicking the “See all Pricing” link in the “hamburger menu”",""
